boilerplate,エディタひな形
Boilerplate Snippet,エディタひな形
Boilerplate Snippets,エディタひな形
Snippet,スニペット
Enter the HTML to be registered in the WYSIWYG HTML editor's template. Template tags are available.,WYSIWYGエディタのテンプレートに登録するHTMLを入力します。テンプレートタグが利用可能です。
